name,guest_name,description_snippet
Gabriel “Fluffy” Iglesias and the Art of Mentoring,Gabriel “Fluffy” Iglesias,"If it wasn’t for Gabriel “Fluffy” Iglesias, a trip to Footlocker could have ended Trevor’s career. Iglesias shares about his journey to become the headlining, stadium-filling comedian known to million"
A Friendship Revolution with Rhaina Cohen,Rhaina Cohen,"Trevor is finally getting married! Just kidding. Rhaina Cohen, author of The Other Significant Others, helps Trevor, Christiana, and Josh envision a society where marriage isn’t the only committed rel"
A Case for Compassion,,"This week on the podcast… Amazon’s Wizard of Oz moment. Plus, Trevor invents a new dating app, why Josh has the perfect name for big corporations, and Christiana announces she’s raising the first Nige"
Orlando Bloom’s Life on the Edge,Orlando Bloom,"Trevor chats with actor, adventurer, and producer Orlando Bloom, who takes Trevor behind the scenes of his thrill-seeking new documentary series, To the Edge. Orlando also talks about his early career"
Eclipse Week,,"With Trevor back from a week in Bhutan where he just may have found inner peace (unless it was just something he ate), this week Trevor, Christiana Mbakwe Medina, and Josh Johnson discuss ROCKS—those "
Some Fun Thought Experiments,,"To celebrate the season’s halfway mark, Trevor and his friends Josh Johnson and Christiana Mbakwe Medina share some never-before-heard moments from Trevor’s favorite episodes and revisit some of the s"
The Meaning of Life With Rainn Wilson,Rainn Wilson,"Trevor is joined by Josh Johnson and actor, writer, and host of the Soulboom podcast Rainn Wilson to talk all things modern spirituality, the suspicious similarities between cults and video games, and"
A Conspiracy at Boeing?,,"What do IKEA executives and eight-year-olds have in common, and why do we care so much about Kate Middleton? Trevor dives in with Christiana Mbakwe Medina and Oscar-winning writer & comedian Travon Fr"
TikTok Thinks Trevor’s From West Virginia,,"Trevor and his friends Christiana Mbakwe Medina and Josh Johnson discuss why Congress is REALLY trying to ban TikTok, how Boeing’s troubles have been a boon for religion, and how the perception of pub"
What’s Diddy Got To Do With It?,It,Trevor catches up with Josh Johnson and Christiana Mbakwe Medina to hash out some of the biggest news stories of the week. They debate whether Margot Robbie deserves an acting Oscar for playing Barbie
Idris Elba Walks Into an Abu Dhabi Hotel Room,Idris Elba Walks,"Trevor sits down in Abu Dhabi with actor, director and DJ, Idris Elba. The two of them swap stories about taking the plunge and moving to America for work and Elba shares the secret he was told not to"
Trevor Turns 40!,,"To reflect on the moment of turning 40, Trevor sits down in South Africa with two of his closest friends, Anele Mdoda and Sizwe Dhlomo. They debate whether birthdays even matter, whether it’s possible"
Bryan Johnson Wants You To Live Forever,Bryan Johnson Wants,"Trevor is joined by Bryan Johnson, the tech entrepreneur devoted to reversing his biological clock. Trevor and Bryan discuss the extreme lengths Bryan has gone to in his anti-aging regimen, Project Bl"
Trevor Takes Us Behind the Scenes of the Grammys,,"Trevor, Ben Winston, and friends discuss the Grammys. From how they handled Meryl Streep and Taylor Swift’s late arrivals on live television, to Jay-Z’s speech, to a golf cart traveling the wrong way "
Quinta Brunson Misses Stupid Comedy,Quinta Brunson,"Trevor is joined by Emmy-winner Quinta Brunson, the star and creator of the hit series Abbott Elementary. Quinta describes her hometown Philly's influence on her comedy, why stand-up just wasn’t for h"
Kevin Hart Gets the Bubble Guts,Kevin Hart,"Trevor sits down with comedy superstar Kevin Hart. The two chop up life behind-the-scenes as professional comedians, their different preferences for theaters versus big arenas, and the benefits and do"
Mark Cuban’s Billionaire Luck,Mark Cuban’s,"Trevor is joined by entrepreneur, Dallas Mavericks owner, and television personality Mark Cuban. Mark recently announced that he’s selling his majority stake in the team and that he’s leaving the long"
Nick Kyrgios is More Than a Tennis Star,Nick Kyrgios,"Trevor is joined by tennis champion Nick Kyrgios, who is known both for his prodigious talent and his “bad boy” reputation. They discuss how Nick feels about that label, the challenges he's faced on t"
Trevor’s New Years Resolutions,,"To start off the new year, Trevor and his friends chop up some of the biggest news stories of the week. Just hours before its release, they make predictions about Jeffrey Epstein’s infamous “list,” di"
Mayor Karen Bass Predicts Los Angeles’ Future,Karen Bass,"Trevor sits down with Los Angeles mayor Karen Bass on the anniversary of her first year in office. In 2022, Bass upset a well-financed opponent to win the election and return to the city where her act"
Tristan Harris Is Trying to Save Us from AI,Tristan Harris,"Trevor is joined by Tristan Harris, a tech ethicist and entrepreneur who is probably best known as ""the guy from 'The Social Dilemma' documentary” and who has dedicated himself and his company to alig"
Janelle Monae is in Her Age of Pleasure,Janelle Monae,"Trevor is joined by genre-defying artist and performer, Janelle Monáe, whose 2023 album, The Age of Pleasure, was recently nominated for two GRAMMYs, including Album of the Year. Janelle shares her re"
Sam Altman Speaks Out About What Happened at OpenAI,Sam Altman,"Trevor has a candid and revealing conversation with Sam Altman, who was ousted and then reinstated as CEO of OpenAI just 12 days ago. Sam recounts where he was when he received the brutal phone call, "
DaBaby Gets Real About Hip Hop Culture,DaBaby,"Trevor sits down with Grammy-nominated rapper DaBaby, who just a few years ago was the face of hip-hop with multiple hit singles to his name. Then a controversial moment at the Rolling Loud festival i"
Bill Gates Doesn’t Need To Track You,Bill Gates Does,"Trevor is joined by Bill Gates, the co-founder of Microsoft and one of the world’s foremost philanthropists. The two talk about how he and Paul Allen schemed to get computer time as teens, the dangers"
Kerry Washington Is Ready To Tell the Truth,Kerry Washington,"Trevor is joined by actress/producer/author Kerry Washington. The good friends unpack the end of the Hollywood strikes, the shocking family secret Kerry shares in her newly published memoir, the respo"
Dwayne “The Rock” Johnson Kicks Off What Now?,Johnson Kicks,"In the series premiere episode, Trevor is joined by Dwayne ""The Rock"" Johnson — ""The People's Champion"" in the wrestling world, one of the hardest working actors in Hollywood, and a bonafide Girl Dad."
INTRODUCING “What Now? with Trevor Noah”,,"What is Trevor Noah up to Now? Well, he’s back with a new podcast. Join Trevor and special guests for authentic, candid and necessarily messy conversations. This show is all about conversations withou"
